customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,return_rate,avg_discount,avg_rating,avg_delivery_days
CUST00027,15,2,2666.0,4,1,3,413,New Customers,0.5,0.28500000000000003,2.5,5.5
CUST00028,4,3,1853.73,4,2,2,422,New Customers,0.0,0.22999999999999998,3.3333333333333335,4.0
CUST00029,12,11,7122.8,4,4,4,444,Champions,0.0,0.19454545454545455,4.090909090909091,4.090909090909091
CUST00030,16,7,3884.46,4,4,3,443,New Customers,0.0,0.33999999999999997,4.428571428571429,4.142857142857143
CUST00031,110,1,672.95,2,1,1,211,At Risk Customers,0.0,0.24,4.0,5.0
CUST00032,32,4,2456.0499999999997,3,2,2,322,At Risk Customers,0.0,0.3175,4.5,3.75
CUST00033,15,6,3548.9,4,3,3,433,New Customers,0.3333333333333333,0.36833333333333335,3.6,4.166666666666667
CUST00034,53,7,4165.39,3,4,3,343,Loyal Customers,0.0,0.24714285714285714,4.285714285714286,4.0
CUST00035,188,3,1369.71,1,2,1,121,At Risk Customers,0.0,0.24333333333333332,4.333333333333333,3.0
CUST00036,88,4,1737.33,2,2,2,222,At Risk Customers,0.25,0.365,2.75,3.25
CUST00037,9,3,2021.52,4,2,2,422,New Customers,0.0,0.36333333333333334,4.0,3.0
CUST00038,11,6,2761.52,4,3,3,433,New Customers,0.0,0.36166666666666664,4.166666666666667,4.5
CUST00039,31,4,2094.09,3,2,2,322,At Risk Customers,0.0,0.265,3.75,6.0
CUST00040,215,1,634.73,1,1,1,111,At Risk Customers,0.0,0.38,5.0,6.0
CUST00041,115,4,1911.8600000000001,2,2,2,222,At Risk Customers,0.0,0.3475,4.5,4.5
CUST00042,46,10,7919.28,3,4,4,344,Loyal Customers,0.2,0.22199999999999998,3.7,3.9
CUST00043,12,2,705.3199999999999,4,1,1,411,New Customers,0.0,0.365,3.0,3.0
CUST00044,58,4,3409.6499999999996,2,2,3,223,At Risk Customers,0.0,0.3675,4.75,4.5
CUST00045,157,1,413.75,2,1,1,211,At Risk Customers,0.0,0.33,4.0,1.0
CUST00046,188,1,489.87,1,1,1,111,At Risk Customers,0.0,0.13,3.0,5.0
CUST00047,265,1,764.43,1,1,1,111,At Risk Customers,0.0,0.16,3.0,6.0
CUST00048,11,5,2860.14,4,3,3,433,New Customers,0.2,0.314,3.2,5.6
CUST00049,39,2,1172.61,3,1,1,311,At Risk Customers,0.5,0.405,3.5,4.5
CUST00050,56,4,3169.58,3,2,3,323,At Risk Customers,0.25,0.29500000000000004,3.3333333333333335,4.25
CUST00051,271,4,4444.3,1,2,4,124,High Value Customers,0.0,0.3525,4.0,4.75
CUST00052,116,3,2807.14,2,2,3,223,At Risk Customers,0.3333333333333333,0.21,3.6666666666666665,4.666666666666667
CUST00053,10,6,5422.92,4,3,4,434,New Customers,0.0,0.3016666666666667,4.333333333333333,4.333333333333333
CUST00054,23,2,1154.37,4,1,1,411,New Customers,0.5,0.195,5.0,5.0
CUST00055,1,4,1707.24,4,2,2,422,New Customers,0.0,0.2525,3.5,6.0
CUST00056,53,5,4169.73,3,3,3,333,At Risk Customers,0.0,0.286,3.6,3.8
CUST00057,197,2,2510.83,1,1,2,112,At Risk Customers,0.0,0.245,4.0,4.5
CUST00058,49,5,3930.75,3,3,3,333,At Risk Customers,0.0,0.202,4.0,3.4
CUST00059,9,5,5050.94,4,3,4,434,New Customers,0.0,0.32599999999999996,4.2,3.4
CUST00060,206,1,293.22,1,1,1,111,At Risk Customers,0.0,0.36,5.0,6.0
CUST00061,3,5,2511.7200000000003,4,3,2,432,New Customers,0.0,0.33999999999999997,4.6,4.4
CUST00062,50,5,3135.08,3,3,3,333,At Risk Customers,0.0,0.27,4.4,5.6
CUST00063,277,1,397.69,1,1,1,111,At Risk Customers,0.0,0.22,5.0,3.0
CUST00064,27,3,1634.0,3,2,2,322,At Risk Customers,0.0,0.34,3.0,4.666666666666667
CUST00065,1,4,3966.91,4,2,3,423,New Customers,0.0,0.1925,3.75,3.0
CUST00066,381,5,4598.95,1,3,4,134,High Value Customers,0.0,0.292,3.4,4.8
CUST00067,124,2,1246.44,2,1,1,211,At Risk Customers,0.5,0.19999999999999998,2.5,3.0
CUST00068,407,3,2123.66,1,2,2,122,At Risk Customers,0.3333333333333333,0.24333333333333332,4.333333333333333,4.0
CUST00069,90,2,874.47,2,1,1,211,At Risk Customers,0.0,0.225,5.0,3.5
CUST00070,99,1,542.98,2,1,1,211,At Risk Customers,0.0,0.34,2.0,4.0
CUST00071,93,1,2062.5,2,1,2,212,At Risk Customers,0.0,0.08,4.0,7.0
CUST00072,151,4,2587.02,2,2,2,222,At Risk Customers,0.0,0.1925,3.5,4.0
CUST00073,45,7,6253.77,3,4,4,344,Loyal Customers,0.0,0.15857142857142859,4.0,4.0
CUST00074,26,5,2884.48,3,3,3,333,At Risk Customers,0.2,0.392,3.8,5.0
CUST00075,44,11,7714.719999999999,3,4,4,344,Loyal Customers,0.0,0.3172727272727273,4.0,5.181818181818182
CUST00076,1,4,2888.0299999999997,4,2,3,423,New Customers,0.0,0.23,3.5,4.25
CUST00077,170,1,394.32,2,1,1,211,At Risk Customers,0.0,0.36,4.0,2.0
CUST00078,200,1,894.45,1,1,1,111,At Risk Customers,1.0,0.42,1.0,3.0
CUST00079,252,1,619.57,1,1,1,111,At Risk Customers,0.0,0.05,1.0,4.0
CUST00080,8,4,2832.98,4,2,3,423,New Customers,0.0,0.26249999999999996,3.25,3.0
CUST00081,41,9,5805.78,3,4,4,344,Loyal Customers,0.2222222222222222,0.15222222222222223,3.6666666666666665,4.333333333333333
CUST00082,315,3,1671.25,1,2,2,122,At Risk Customers,0.0,0.17,2.0,4.0
CUST00083,150,2,806.87,2,1,1,211,At Risk Customers,0.5,0.33499999999999996,3.5,5.5
CUST00084,228,1,1273.18,1,1,1,111,At Risk Customers,0.0,0.12,5.0,3.0
CUST00085,75,1,1257.8,2,1,1,211,At Risk Customers,0.0,0.2,5.0,4.0
CUST00086,40,6,3003.66,3,3,3,333,At Risk Customers,0.0,0.265,4.166666666666667,4.833333333333333
CUST00087,28,4,3610.9700000000003,3,2,3,323,At Risk Customers,0.25,0.1825,4.5,4.5
CUST00088,159,12,6774.5,2,4,4,244,Loyal Customers,0.0,0.365,4.416666666666667,4.583333333333333
CUST00089,226,2,2825.75,1,1,3,113,At Risk Customers,0.0,0.25,4.0,5.5
CUST00090,50,5,2498.83,3,3,2,332,At Risk Customers,0.0,0.354,4.6,5.2
CUST00091,18,5,5844.34,4,3,4,434,New Customers,0.2,0.186,4.2,3.4
CUST00092,34,2,1155.25,3,1,1,311,At Risk Customers,0.0,0.31,4.0,3.5
CUST00093,146,1,759.64,2,1,1,211,At Risk Customers,0.0,0.12,4.0,4.0
CUST00094,244,4,3557.43,1,2,3,123,At Risk Customers,0.0,0.1975,3.5,3.75
CUST00095,126,1,372.65,2,1,1,211,At Risk Customers,0.0,0.41,4.0,1.0
CUST00096,45,4,2403.64,3,2,2,322,At Risk Customers,0.25,0.34249999999999997,3.0,6.5
CUST00097,29,8,5040.67,3,4,4,344,Loyal Customers,0.125,0.37125,3.75,5.0
CUST00098,245,2,1843.57,1,1,2,112,At Risk Customers,0.0,0.195,3.5,8.0
CUST00099,45,6,3861.8199999999997,3,3,3,333,At Risk Customers,0.0,0.16333333333333333,4.5,3.8333333333333335
CUST00100,3,3,2209.4,4,2,2,422,New Customers,0.3333333333333333,0.17666666666666667,4.666666666666667,5.0
CUST00101,169,5,3514.87,2,3,3,233,At Risk Customers,0.0,0.274,3.8,4.0
CUST00102,18,2,2048.62,4,1,2,412,New Customers,0.0,0.14,4.5,5.5
CUST00103,7,3,2581.31,4,2,2,422,New Customers,0.0,0.2233333333333333,3.6666666666666665,5.333333333333333
CUST00104,154,1,955.63,2,1,1,211,At Risk Customers,0.0,0.31,5.0,7.0
CUST00105,40,2,2846.2999999999997,3,1,3,313,At Risk Customers,0.0,0.19,5.0,5.5
CUST00106,122,7,4352.11,2,4,4,244,Loyal Customers,0.0,0.2814285714285714,2.857142857142857,4.571428571428571
CUST00107,32,4,3891.05,3,2,3,323,At Risk Customers,0.0,0.15250000000000002,4.25,3.75
CUST00108,105,1,1074.5,2,1,1,211,At Risk Customers,1.0,0.22,1.0,4.0
CUST00109,60,6,4566.15,2,3,4,234,High Value Customers,0.0,0.3466666666666667,4.0,4.333333333333333
CUST00110,96,6,3922.07,2,3,3,233,At Risk Customers,0.0,0.26333333333333336,5.0,3.3333333333333335
CUST00111,239,1,1135.09,1,1,1,111,At Risk Customers,0.0,0.23,5.0,1.0
CUST00112,34,9,6542.4,3,4,4,344,Loyal Customers,0.2222222222222222,0.22777777777777775,4.444444444444445,3.6666666666666665
CUST00113,8,3,2095.48,4,2,2,422,New Customers,0.0,0.2833333333333333,4.0,2.6666666666666665
CUST00114,300,6,5133.53,1,3,4,134,High Value Customers,0.0,0.265,4.0,4.166666666666667
CUST00115,220,1,596.54,1,1,1,111,At Risk Customers,0.0,0.14,3.0,6.0
CUST00116,204,6,5635.9,1,3,4,134,High Value Customers,0.0,0.18666666666666668,4.333333333333333,3.8333333333333335
CUST00117,184,4,2534.33,1,2,2,122,At Risk Customers,0.0,0.16499999999999998,4.0,3.75
CUST00118,14,4,2001.17,4,2,2,422,New Customers,0.0,0.22999999999999998,4.5,5.25
CUST00119,6,6,4466.32,4,3,4,434,New Customers,0.0,0.3083333333333333,3.6666666666666665,3.8333333333333335
CUST00120,32,2,755.8399999999999,3,1,1,311,At Risk Customers,0.0,0.20500000000000002,5.0,3.0
CUST00121,23,3,3028.88,4,2,3,423,New Customers,0.0,0.21,3.0,5.333333333333333
CUST00122,167,2,2048.93,2,1,2,212,At Risk Customers,0.0,0.36,4.0,2.0
CUST00123,29,7,3742.48,3,4,3,343,Loyal Customers,0.14285714285714285,0.3171428571428571,3.5714285714285716,4.714285714285714
CUST00124,255,4,2570.5,1,2,2,122,At Risk Customers,0.0,0.3375,3.75,4.5
CUST00125,17,3,2455.21,4,2,2,422,New Customers,0.3333333333333333,0.3766666666666667,3.6666666666666665,6.0
CUST00126,118,2,1260.02,2,1,1,211,At Risk Customers,0.0,0.43,3.0,3.5
CUST00127,18,3,1136.12,4,2,1,421,New Customers,0.0,0.32666666666666666,3.6666666666666665,5.666666666666667
CUST00128,6,3,2233.06,4,2,2,422,New Customers,0.0,0.37333333333333335,3.6666666666666665,3.3333333333333335
CUST00129,32,5,4049.54,3,3,3,333,At Risk Customers,0.2,0.32199999999999995,2.5,2.8
CUST00130,57,2,1850.58,2,1,2,212,At Risk Customers,0.0,0.325,3.0,4.0
CUST00131,128,6,6830.01,2,3,4,234,High Value Customers,0.0,0.29,3.3333333333333335,5.166666666666667
CUST00132,178,5,4876.780000000001,2,3,4,234,High Value Customers,0.0,0.346,4.0,5.2
CUST00133,12,10,7152.29,4,4,4,444,Champions,0.1,0.293,3.7,3.8
CUST00134,19,6,4696.0199999999995,4,3,4,434,New Customers,0.16666666666666666,0.2866666666666667,3.6666666666666665,4.166666666666667
CUST00135,394,4,2534.18,1,2,2,122,At Risk Customers,0.0,0.29000000000000004,3.0,4.5
CUST00136,132,1,514.9,2,1,1,211,At Risk Customers,0.0,0.3,5.0,2.0
CUST00137,238,2,1035.87,1,1,1,111,At Risk Customers,0.0,0.315,4.0,4.0
CUST00138,36,2,1424.6100000000001,3,1,2,312,At Risk Customers,0.5,0.27,3.0,4.0
CUST00139,14,4,3008.66,4,2,3,423,New Customers,0.0,0.3125,3.25,3.5
CUST00140,33,5,4083.36,3,3,3,333,At Risk Customers,0.0,0.28600000000000003,3.0,6.0
CUST00141,20,2,1055.28,4,1,1,411,New Customers,0.0,0.19,4.0,3.5
CUST00142,230,5,1880.0,1,3,2,132,At Risk Customers,0.0,0.4,3.4,3.6
CUST00143,51,7,7890.950000000001,3,4,4,344,Loyal Customers,0.0,0.17857142857142858,4.142857142857143,3.7142857142857144
CUST00144,42,10,8510.65,3,4,4,344,Loyal Customers,0.1,0.305,3.9,4.3
CUST00145,91,1,502.35,2,1,1,211,At Risk Customers,0.0,0.11,5.0,6.0
CUST00146,6,6,6990.9400000000005,4,3,4,434,New Customers,0.16666666666666666,0.19166666666666665,4.6,3.5
CUST00147,27,4,3412.56,3,2,3,323,At Risk Customers,0.0,0.215,3.75,4.0
CUST00148,15,5,3702.7,4,3,3,433,New Customers,0.2,0.21600000000000003,4.2,3.8
CUST00149,10,3,2362.6400000000003,4,2,2,422,New Customers,0.3333333333333333,0.22999999999999998,4.333333333333333,6.0
CUST00150,35,5,2641.09,3,3,3,333,At Risk Customers,0.0,0.392,4.0,4.0
CUST00151,44,8,6240.6,3,4,4,344,Loyal Customers,0.0,0.30375,3.875,5.125
CUST00152,10,8,5508.0,4,4,4,444,Champions,0.125,0.3575,3.625,6.125
CUST00153,26,3,1619.74,3,2,2,322,At Risk Customers,0.0,0.3633333333333333,3.3333333333333335,7.0
CUST00154,42,10,8542.89,3,4,4,344,Loyal Customers,0.0,0.25,3.2,4.3
CUST00155,32,4,2343.2799999999997,3,2,2,322,At Risk Customers,0.0,0.39,3.5,3.5
CUST00156,28,3,4831.42,3,2,4,324,High Value Customers,0.3333333333333333,0.17,2.3333333333333335,4.333333333333333
CUST00157,61,5,2269.91,2,3,2,232,At Risk Customers,0.0,0.238,3.8,5.0
CUST00158,216,1,812.34,1,1,1,111,At Risk Customers,0.0,0.25,5.0,7.0
CUST00159,535,2,3713.77,1,1,3,113,At Risk Customers,0.0,0.27,3.5,5.0
CUST00160,238,2,1064.66,1,1,1,111,At Risk Customers,0.0,0.28500000000000003,2.5,3.5
CUST00161,14,7,6171.42,4,4,4,444,Champions,0.14285714285714285,0.2057142857142857,3.857142857142857,4.142857142857143
CUST00162,152,2,1194.5900000000001,2,1,1,211,At Risk Customers,0.0,0.29000000000000004,3.5,5.5
CUST00163,22,2,1100.06,4,1,1,411,New Customers,0.0,0.38,4.5,4.0
CUST00164,283,5,4657.03,1,3,4,134,High Value Customers,0.0,0.24,4.0,4.2
CUST00165,37,4,2287.08,3,2,2,322,At Risk Customers,0.0,0.265,4.75,3.5
CUST00166,38,3,3227.7,3,2,3,323,At Risk Customers,0.0,0.24,4.333333333333333,5.333333333333333
CUST00167,280,1,423.24,1,1,1,111,At Risk Customers,0.0,0.24,5.0,5.0
CUST00168,13,5,4794.47,4,3,4,434,New Customers,0.0,0.172,4.0,4.2
CUST00169,283,1,1799.45,1,1,2,112,At Risk Customers,0.0,0.12,2.0,4.0
CUST00170,17,12,7634.5599999999995,4,4,4,444,Champions,0.0,0.26416666666666666,3.75,4.25
CUST00171,31,4,3416.04,3,2,3,323,At Risk Customers,0.25,0.23,4.5,3.75
CUST00172,45,8,6232.719999999999,3,4,4,344,Loyal Customers,0.0,0.36125,4.0,5.25
CUST00173,43,6,2018.8200000000002,3,3,2,332,At Risk Customers,0.0,0.3566666666666667,4.166666666666667,3.6666666666666665
CUST00174,3,7,3507.37,4,4,3,443,New Customers,0.14285714285714285,0.2885714285714286,3.857142857142857,5.571428571428571
CUST00175,120,4,3568.3199999999997,2,2,3,223,At Risk Customers,0.0,0.225,2.25,5.5
CUST00176,10,4,6283.41,4,2,4,424,New Customers,0.25,0.3025,4.5,2.75
CUST00177,13,5,5158.25,4,3,4,434,New Customers,0.0,0.374,4.2,4.4
CUST00178,33,9,5965.32,3,4,4,344,Loyal Customers,0.2222222222222222,0.2544444444444445,4.444444444444445,4.111111111111111
CUST00179,36,4,1767.07,3,2,2,322,At Risk Customers,0.25,0.4575,3.25,6.0
CUST00180,157,2,1570.85,2,1,2,212,At Risk Customers,0.5,0.26,1.5,4.5
CUST00181,35,2,1815.8899999999999,3,1,2,312,At Risk Customers,0.5,0.16,3.5,4.5
CUST00182,60,2,672.78,2,1,1,211,At Risk Customers,0.5,0.33499999999999996,2.5,5.0
CUST00183,213,3,3246.8900000000003,1,2,3,123,At Risk Customers,0.0,0.25,4.0,2.6666666666666665
CUST00184,75,5,5072.85,2,3,4,234,High Value Customers,0.0,0.27199999999999996,3.6,4.8
CUST00185,25,9,5475.0,3,4,4,344,Loyal Customers,0.0,0.3188888888888889,3.888888888888889,5.0
CUST00186,16,2,2279.63,4,1,2,412,New Customers,0.0,0.26,4.5,6.0
CUST00187,53,4,2223.79,3,2,2,322,At Risk Customers,0.0,0.485,4.5,4.5
CUST00188,90,7,5810.17,2,4,4,244,Loyal Customers,0.14285714285714285,0.3085714285714286,4.0,3.2857142857142856
CUST00189,4,11,8207.06,4,4,4,444,Champions,0.09090909090909091,0.2218181818181818,4.0,4.545454545454546
CUST00190,18,2,854.78,4,1,1,411,New Customers,0.0,0.18,4.5,6.0
CUST00191,9,3,945.03,4,2,1,421,New Customers,0.0,0.4133333333333334,4.0,5.0
CUST00192,2,6,3657.1499999999996,4,3,3,433,New Customers,0.16666666666666666,0.35000000000000003,4.2,4.666666666666667
CUST00193,218,1,424.74,1,1,1,111,At Risk Customers,0.0,0.21,5.0,5.0
CUST00194,3,6,4197.11,4,3,3,433,New Customers,0.3333333333333333,0.3466666666666667,4.0,5.0
CUST00195,3,2,1955.96,4,1,2,412,New Customers,0.0,0.3,5.0,5.0
CUST00196,85,2,1272.38,2,1,1,211,At Risk Customers,0.0,0.28,3.0,8.0
CUST00197,9,12,11523.66,4,4,4,444,Champions,0.08333333333333333,0.2725,3.0,5.5
CUST00198,26,10,7958.04,3,4,4,344,Loyal Customers,0.0,0.266,3.5,3.5
CUST00199,49,5,4359.83,3,3,4,334,High Value Customers,0.0,0.242,3.4,3.6
CUST00200,26,9,7636.45,3,4,4,344,Loyal Customers,0.0,0.2,3.888888888888889,4.666666666666667
CUST00201,154,7,6691.56,2,4,4,244,Loyal Customers,0.0,0.23857142857142857,4.166666666666667,3.857142857142857
CUST00202,48,2,2363.2200000000003,3,1,2,312,At Risk Customers,0.5,0.315,5.0,4.5
CUST00203,175,2,743.3499999999999,2,1,1,211,At Risk Customers,0.0,0.39,3.0,4.5
CUST00204,47,6,3646.77,3,3,3,333,At Risk Customers,0.0,0.27666666666666667,3.6666666666666665,5.0
CUST00205,7,6,3610.58,4,3,3,433,New Customers,0.0,0.22666666666666668,4.0,4.666666666666667
CUST00206,179,10,6479.7,2,4,4,244,Loyal Customers,0.1,0.265,3.8,5.4
CUST00207,79,1,193.1,2,1,1,211,At Risk Customers,0.0,0.62,,5.0
CUST00208,152,6,6865.35,2,3,4,234,High Value Customers,0.0,0.20000000000000004,4.166666666666667,5.666666666666667
CUST00209,340,5,3422.88,1,3,3,133,At Risk Customers,0.2,0.192,2.4,5.4
CUST00210,189,2,1254.8700000000001,1,1,1,111,At Risk Customers,0.0,0.27,4.5,5.5
CUST00211,28,7,27920.05,3,4,4,344,Loyal Customers,0.0,0.31714285714285717,3.5714285714285716,5.285714285714286
CUST00212,265,3,2071.6800000000003,1,2,2,122,At Risk Customers,0.0,0.32666666666666666,4.666666666666667,6.333333333333333
CUST00213,147,2,1680.61,2,1,2,212,At Risk Customers,1.0,0.2,3.5,5.5
CUST00214,125,1,1427.16,2,1,2,212,At Risk Customers,0.0,0.22,4.0,6.0
CUST00215,95,3,1564.1,2,2,2,222,At Risk Customers,0.0,0.19666666666666666,3.0,4.666666666666667
CUST00216,109,1,1349.42,2,1,1,211,At Risk Customers,1.0,0.27,4.0,5.0
CUST00217,140,3,1179.94,2,2,1,221,At Risk Customers,0.0,0.35333333333333333,3.0,3.0
CUST00218,15,4,2728.57,4,2,3,423,New Customers,0.25,0.11,4.25,3.25
CUST00219,215,6,2782.79,1,3,3,133,At Risk Customers,0.0,0.36166666666666664,4.0,5.166666666666667
CUST00220,19,4,1750.5,4,2,2,422,New Customers,0.0,0.25,4.5,5.5
CUST00221,9,3,1357.66,4,2,1,421,New Customers,0.0,0.33,3.6666666666666665,3.3333333333333335
CUST00222,247,2,1259.5,1,1,1,111,At Risk Customers,0.0,0.45,4.5,3.5
CUST00223,164,1,757.58,2,1,1,211,At Risk Customers,0.0,0.53,5.0,8.0
CUST00224,8,4,3249.04,4,2,3,423,New Customers,0.25,0.28500000000000003,3.5,5.25
CUST00225,149,3,3012.6,2,2,3,223,At Risk Customers,0.0,0.32,4.333333333333333,3.6666666666666665
CUST00226,5,4,3683.7,4,2,3,423,New Customers,0.25,0.1675,4.25,4.25
CUST00227,214,6,4383.02,1,3,4,134,High Value Customers,0.16666666666666666,0.2816666666666667,4.166666666666667,4.833333333333333
CUST00228,143,7,4150.72,2,4,3,243,Loyal Customers,0.14285714285714285,0.33428571428571424,3.4285714285714284,4.857142857142857
CUST00229,153,5,3077.41,2,3,3,233,At Risk Customers,0.0,0.304,3.8,5.4
CUST00230,16,9,8646.32,4,4,4,444,Champions,0.0,0.21666666666666667,4.111111111111111,4.222222222222222
CUST00231,22,4,2330.3900000000003,4,2,2,422,New Customers,0.0,0.185,4.5,3.75
CUST00232,8,3,3010.99,4,2,3,423,New Customers,0.0,0.24666666666666667,2.5,5.666666666666667
CUST00233,422,3,1626.9899999999998,1,2,2,122,At Risk Customers,0.0,0.2866666666666667,3.3333333333333335,5.666666666666667
CUST00234,35,7,5988.42,3,4,4,344,Loyal Customers,0.0,0.16428571428571428,3.7142857142857144,3.857142857142857
CUST00235,13,5,3186.58,4,3,3,433,New Customers,0.0,0.21600000000000003,4.2,3.4
CUST00236,18,2,1796.52,4,1,2,412,New Customers,0.0,0.31,4.0,2.5
CUST00237,30,5,4240.2,3,3,3,333,At Risk Customers,0.0,0.262,3.8,3.6
CUST00238,57,3,3798.2000000000003,2,2,3,223,At Risk Customers,0.3333333333333333,0.16333333333333333,3.6666666666666665,4.666666666666667
CUST00239,381,1,208.1,1,1,1,111,At Risk Customers,0.0,0.51,5.0,5.0
CUST00240,18,3,2710.16,4,2,3,423,New Customers,0.0,0.17333333333333334,4.666666666666667,5.666666666666667
CUST00241,7,4,4566.46,4,2,4,424,New Customers,0.0,0.38,4.25,3.25
CUST00242,16,7,4040.24,4,4,3,443,New Customers,0.14285714285714285,0.30428571428571427,3.2857142857142856,3.142857142857143
CUST00243,130,4,3129.06,2,2,3,223,At Risk Customers,0.25,0.395,3.25,3.25
CUST00244,205,2,2449.86,1,1,2,112,At Risk Customers,0.0,0.22499999999999998,3.0,5.0
CUST00245,9,5,3729.23,4,3,3,433,New Customers,0.0,0.306,4.0,3.2
CUST00246,34,5,3071.41,3,3,3,333,At Risk Customers,0.2,0.198,3.2,5.4
CUST00247,118,11,5611.35,2,4,4,244,Loyal Customers,0.0,0.41363636363636364,3.5454545454545454,4.636363636363637
CUST00248,53,8,4617.07,3,4,4,344,Loyal Customers,0.0,0.30874999999999997,3.375,3.375
CUST00249,223,3,1761.46,1,2,2,122,At Risk Customers,0.0,0.4066666666666667,4.333333333333333,4.666666666666667
CUST00250,37,2,1335.96,3,1,1,311,At Risk Customers,0.0,0.28500000000000003,5.0,5.0
CUST00251,102,1,966.73,2,1,1,211,At Risk Customers,1.0,0.37,5.0,8.0
CUST00252,251,6,5194.02,1,3,4,134,High Value Customers,0.0,0.3216666666666667,3.5,5.0
CUST00253,252,3,1901.1299999999999,1,2,2,122,At Risk Customers,0.0,0.19999999999999998,4.0,3.6666666666666665
CUST00254,244,4,3041.57,1,2,3,123,At Risk Customers,0.0,0.33999999999999997,4.25,5.75
CUST00255,50,7,5070.56,3,4,4,344,Loyal Customers,0.14285714285714285,0.24714285714285714,3.7142857142857144,3.857142857142857
CUST00256,242,2,1727.8400000000001,1,1,2,112,At Risk Customers,0.0,0.105,4.0,6.0
CUST00257,51,3,1361.41,3,2,1,321,At Risk Customers,0.0,0.32666666666666666,3.3333333333333335,5.0
CUST00258,36,11,6740.7300000000005,3,4,4,344,Loyal Customers,0.0,0.26545454545454544,4.181818181818182,5.090909090909091
CUST00259,253,1,1519.33,1,1,2,112,At Risk Customers,0.0,0.32,4.0,3.0
CUST00260,14,3,2237.58,4,2,2,422,New Customers,0.0,0.3566666666666667,3.0,4.666666666666667
CUST00261,7,3,2884.77,4,2,3,423,New Customers,0.0,0.3,3.6666666666666665,3.6666666666666665
CUST00262,10,3,1649.48,4,2,2,422,New Customers,0.0,0.16666666666666666,4.333333333333333,5.666666666666667
CUST00263,50,13,8211.17,3,4,4,344,Loyal Customers,0.23076923076923078,0.3376923076923077,3.923076923076923,5.384615384615385
CUST00264,92,2,671.0999999999999,2,1,1,211,At Risk Customers,0.0,0.31,3.5,3.0
CUST00265,10,3,1918.74,4,2,2,422,New Customers,0.0,0.20000000000000004,5.0,3.6666666666666665
CUST00266,219,4,5306.62,1,2,4,124,High Value Customers,0.25,0.255,3.5,2.5
CUST00267,90,4,4026.2300000000005,2,2,3,223,At Risk Customers,0.25,0.25,3.0,4.5
CUST00268,40,4,4982.92,3,2,4,324,High Value Customers,0.0,0.33,4.5,4.5
CUST00269,34,4,3130.84,3,2,3,323,At Risk Customers,0.0,0.3025,4.5,4.0
CUST00270,14,4,3158.67,4,2,3,423,New Customers,0.25,0.2325,4.25,4.5
